y,value
0,28
1,33
2,30
3,30
4,30
5,30
6,18
7,12
8,11
9,11
10,11
11,11
12,12
13,13
14,15
15,21
16,25
17,20
18,19
19,20
20,20
21,20
22,20
23,20
24,20
25,20
26,20
27,20
28,20
29,21
30,22
31,23
32,26
33,37
34,38
